news_id,department_name
GZ_news_001,花都区炭步镇人民政府
GZ_news_001,12345热线
GZ_news_002,广州市白云区人民法院
GZ_news_002,交警部门
GZ_news_003,荔湾区东漖街道办事处
GZ_news_003,东漖街道党群服务中心
GZ_news_003,荔湾区新就业群体俱乐部
GZ_news_004,广州市公安局刑事侦查支队（广州反诈）
GZ_news_004,丰巢科技
GZ_news_004,越秀区社区居委会
GZ_news_005,花都区委
GZ_news_005,区政府，花东镇人民政府，推广社区居委会，花都区住房城乡建设局，市规划和自然资源局花都区分局
GZ_news_006,广州市交警支队天河大队
GZ_news_007,荔湾区市场监督管理局
GZ_news_007,越秀区文化广电旅游体育局
GZ_news_007,属地派出所
GZ_news_007,荔湾区人民法院
GZ_news_008,天河区辖区派出所
GZ_news_009,广州市妇联万事兴维权综合服务中心白云区分站
GZ_news_009,公益律师
GZ_news_009,白云区人民法院
GZ_news_010,广州市增城区住房和城乡建设局
GZ_news_010,增城区新塘镇人民政府
GZ_news_010,合生湖山花园三期施工单位
GZ_news_011,番禺区石楼镇赤岗村网格工作站
GZ_news_011,辖区辅警
GZ_news_011,石楼镇平安法治办
GZ_news_012,黄埔区穗东街道综合行政执法办
GZ_news_012,社区民警
GZ_news_012,街道网格工作站
GZ_news_013,海珠区南华西街综治中心
GZ_news_013,街道平安办
GZ_news_013,司法所
GZ_news_013,社区律师
GZ_news_013,属地居委会
GZ_news_014,荔湾区南源街道西焦社区（网格员 / 社区工作人员）
GZ_news_014,街道综合行政执法队
GZ_news_015,从化区化龙镇明经村网格工作站
GZ_news_016,越秀区六榕街综治中心
GZ_news_016,街道劳监部门
GZ_news_016,司法所
GZ_news_016,辖区公安
GZ_news_017,荔湾区站前街道综治中心（商圈调解工作站）
GZ_news_017,荔湾区人民法院
GZ_news_018,广州市白云区太和镇人民政府
GZ_news_018,和龙村村委（基层网格员）
GZ_news_019,广州市黄埔区综治中心
GZ_news_020,广州市白云区钟落潭镇人民政府
GZ_news_020,马洞村村委
GZ_news_020,村级治安联防最小应急单元
GZ_news_021,广州市白云区鹤龙街道办
GZ_news_021,鹤龙司法所
GZ_news_021,辖区社区居委会
GZ_news_021,片区网格员
GZ_news_022,广州市白云区黄石街道广外大社区居委会
GZ_news_022,黄石派出所
GZ_news_022,社区街坊调解员
GZ_news_023,广州市白云区鹤龙街道办
GZ_news_023,鹤边派出所
GZ_news_023,员村社区居委会
GZ_news_023,片区网格员
GZ_news_023,番禺区公安 / 检察院 / 法院
GZ_news_023,街道社工站
GZ_news_023,民政部门
GZ_news_024,广州市南沙区港湾街道办
GZ_news_024,港湾派出所
GZ_news_024,辖区物业
GZ_news_024,社区最小应急单元
GZ_news_025,广州市越秀区公安分局反诈中心
GZ_news_025,“广州街坊・越秀邻里” 社区服务队
GZ_news_025,街道综治
GZ_news_025,楼栋长及出租屋管理员
GZ_news_026,广州市白云区黄石街道马务社区
GZ_news_026,社区网格员
GZ_news_027,广州公交集团巴士公司
GZ_news_027,广东省水电医院
GZ_news_028,天河区棠下街道棠德南社区
GZ_news_028,辖区派出所
GZ_news_028,小区物业
GZ_news_028,社区党员及热心街坊
GZ_news_029,广州市番禺区沙头街大平村
GZ_news_029,广州街坊服务队
GZ_news_030,白云区太和派出所
GZ_news_030,太和镇营溪村村委会
GZ_news_030,社区网格员
GZ_news_031,白云区鹤龙街道办
GZ_news_031,鹤龙街市场监管所
GZ_news_031,社区网格员
GZ_news_031,街道综合行政执法队
GZ_news_032,广州市荔湾区南源街道和平新村社区
GZ_news_032,广州街坊服务队
GZ_news_032,社区热心居民
GZ_news_032,辖区医疗机构
GZ_news_033,白云区太和镇穗丰村村委会
GZ_news_033,辖区网格员
GZ_news_033,太和法庭
GZ_news_034,白云区太和镇联升社区
GZ_news_034,广州街坊服务队
GZ_news_034,社区网格长
GZ_news_035,沙河街水荫四横路社区
GZ_news_035,辖区派出所
GZ_news_035,街道综合执法队
GZ_news_035,消防救援
GZ_news_035,医疗机构
GZ_news_035,社区热心街坊
GZ_news_036,黄埔区穗东街道
GZ_news_036,夏园社区
GZ_news_036,广州街坊服务队
GZ_news_036,燃气公司
GZ_news_037,花城街道
GZ_news_037,广州街坊服务队
GZ_news_037,辖区医疗机构
GZ_news_038,白云区棠景街道
GZ_news_038,社区网格工作站
GZ_news_039,白云区太和镇综治
GZ_news_039,社区网格员
GZ_news_040,白云区太和镇
GZ_news_040,营溪村社区网格员
GZ_news_041,白云区鹤龙街道最小应急单元
GZ_news_041,鹤龙派出所
GZ_news_042,白云区金沙街道
GZ_news_042,横沙村最小应急单元
GZ_news_042,辖区派出所
GZ_news_043,广州市南沙区市场监督管理局
GZ_news_044,白云区金沙街道横沙社区网格员
GZ_news_045,白云区白云湖街道最小应急单元
GZ_news_045,属地派出所
GZ_news_046,南沙区东涌镇综治办
GZ_news_046,鱼窝头派出所
GZ_news_046,司法所
GZ_news_046,佛山属地政法部门
GZ_news_047,白云区云城街道社区网格员
GZ_news_048,白云区棠景街道网格员
GZ_news_048,棠景派出所
GZ_news_049,白云区钟落潭镇乌溪村最小应急单元
GZ_news_049,属地派出所
GZ_news_050,白云区同和街道综治中心
GZ_news_050,同和司法所
GZ_news_051,白云区石井街庆丰联社最小应急单元
GZ_news_051,石井派出所
GZ_news_052,广州市白云区棠景街祥岗社区居委会
GZ_news_052,棠景街道网格工作站
GZ_news_053,广州市白云区大源街综治中心
GZ_news_053,大源司法所
GZ_news_053,大源村委会
GZ_news_054,广州市南沙区人民法院
GZ_news_054,劳动人事争议仲裁委员会
GZ_news_055,广州市白云区云城街综合事务中心
GZ_news_055,得朋社区居委会
GZ_news_056,广州市白云区同和街道办
GZ_news_056,何屋社区居委会
GZ_news_056,何屋经济社
GZ_news_057,广州市白云区均禾街平沙治保会
GZ_news_058,广州市白云区云城街萧岗花园社区网格工作站
GZ_news_059,广州市黄埔区云埔街道办
GZ_news_059,辖区社区
GZ_news_060,广州互联网法院
GZ_news_061,广州市天河区小新塘回迁小区
GZ_news_061,保利物业
GZ_news_062,广州喜点狮品牌管理有限公司
GZ_news_062,番禺永旺商场
GZ_news_063,广东嘉尚物业服务有限公司
GZ_news_063,广州屋帝电梯工程服务有限公司
GZ_news_063,天河区市场监督管理局
GZ_news_063,嘉尚国际公寓 89 号楼业主
GZ_news_064,广州市白云区人民法院
GZ_news_064,白云区人民检察院
GZ_news_064,白云公安分局
GZ_news_065,中华遗嘱库广州越秀分库
GZ_news_065,属地村居
GZ_news_066,番禺区人民法院
GZ_news_066,广州市中院
GZ_news_066,属地公安
GZ_news_066,检察机关
GZ_news_067,广州市越秀区市场监督管理局
GZ_news_067,涉事网红粥铺
GZ_news_068,广州安居住房置业有限公司
GZ_news_068,私房业主刘叔
GZ_news_068,属地素社街道
GZ_news_069,白云区市场监督管理局
GZ_news_069,涉事火锅店
GZ_news_070,南沙区人民法院
GZ_news_070,办案公安
GZ_news_070,35 名受害购票消费者
GZ_news_070,诈骗行为人许某某
GZ_news_071,花都区人民法院
GZ_news_071,广州市中级人民法院
GZ_news_071,涉案兄弟二人
GZ_news_072,南沙区龙穴街道综治中心
GZ_news_072,8 名鱼塘耕户
GZ_news_072,相关施工及管理单位
GZ_news_073,白云区钟落潭镇网格员
GZ_news_073,村调委会
GZ_news_073,涉案四名村民
GZ_news_074,增城公安增江派出所
GZ_news_074,果园经营者
GZ_news_074,两名盗窃行为人
GZ_news_075,白云区嘉禾街网格中心
GZ_news_075,街道环保办
GZ_news_075,涉事五金加工厂
GZ_news_075,投诉居民
GZ_news_076,省公安厅刑侦总队
GZ_news_076,肇庆市县公安
GZ_news_076,乡镇村委
GZ_news_076,护林员
GZ_news_076,当地群众
GZ_news_077,广州天河公安（猎德派出所）
GZ_news_077,广州南沙公安分局
GZ_news_077,天河爱乐幼儿园
GZ_news_078,共青团广东省委
GZ_news_078,广东粤剧院
GZ_news_078,共青团广州市委
GZ_news_078,广东省青少年发展基金会
GZ_news_079,广州互联网法院
GZ_news_080,广东省公安厅
GZ_news_080,肇庆公安
GZ_news_080,深圳公安
GZ_news_080,惠州公安
GZ_news_080,交通运输部门
GZ_news_081,广州市白云区人民法院
GZ_news_081,广州市中级人民法院
GZ_news_083,广州市中级人民法院
GZ_news_084,广东省公安厅
GZ_news_084,肇庆市公安局反诈中心
GZ_news_084,涉事合作银行
GZ_news_085,广州市南沙区人民法院
GZ_news_085,南沙区市场监督管理局
GZ_news_085,南沙知识产权纠纷人民调解委员会
GZ_news_086,广州交警
GZ_news_086,属地街道
GZ_news_086,小区物业
GZ_news_086,交通主管部门
GZ_news_086,市政协专家
GZ_news_087,广州市中级人民法院
GZ_news_087,广州市花都区人民法院
GZ_news_088,省教育厅
GZ_news_088,广州市教育局
GZ_news_088,省内高校
GZ_news_089,广州中院
GZ_news_089,公安
GZ_news_089,仲裁机构
GZ_news_089,拆迁实施单位
GZ_news_090,重庆永川妇联
GZ_news_090,公安
GZ_news_090,检察院
GZ_news_090,人民法院
GZ_news_091,广州白云法院
GZ_news_091,广州中院
GZ_news_092,广州海珠区法院
GZ_news_092,广州市中级人民法院
GZ_news_093,广州市南沙区人民法院
GZ_news_094,广州市白云区人民检察院
GZ_news_094,广州市白云区人民法院
GZ_news_095,市场监管部门
GZ_news_095,涉事烘焙门店
GZ_news_095,外卖平台
GZ_news_095,消费者
GZ_news_096,公安民警
GZ_news_096,应急处置相关单位
GZ_news_097,白云区消防救援局
GZ_news_097,磨刀坑社区治安联防队
GZ_news_097,社区居委会
GZ_news_098,荔湾区市场监管局
GZ_news_098,涉事养生馆
GZ_news_098,消费者郭姨
GZ_news_099,广州市白云区人民法院
GZ_news_099,公安机关
GZ_news_100,广州市花都区人民法院
GZ_news_100,食品及营养学专家陪审员
GZ_news_100,涉事贸易与饮品企业
