workorder_id,department_name
GZ_001,广州市南沙区人民政府-黄阁镇
GZ_002,广州市荔湾区人民政府-龙津街道办事处
GZ_003,广州市荔湾区人民政府-区住房建设园林局
GZ_004,广州市天河区人民政府-猎德街
GZ_005,广州市白云区人民政府-新市街
GZ_006,广东电网有限责任公司广州供电局
GZ_007,广州市白云区人民政府-江高镇
GZ_008,广州市公安局
GZ_009,广州市增城区人民政府-区市场监管局
GZ_010,广州市天河区人民政府-元岗街
GZ_011,广州市增城区人民政府-新塘镇
GZ_012,广州市白云区人民政府-嘉禾街
GZ_013,广州市增城区人民政府-新塘镇
GZ_014,广东电网有限责任公司广州供电局
GZ_015,广州市增城区人民政府-新塘镇
GZ_016,广州市海珠区人民政府-滨江街
GZ_017,广州市天河区人民政府-天河南街
GZ_018,广州市公安局
GZ_019,广州市番禺区人民政府-沙湾街
GZ_020,广州市白云区人民政府-石门街
GZ_021,广州市增城区人民政府-派潭镇
GZ_022,广州市公安局
GZ_023,广州市黄埔区人民政府-新龙镇
GZ_024,广州市白云区人民政府-永平街
GZ_025,广州市公安局
GZ_026,广州市海珠区人民政府-凤阳街
GZ_027,广州市天河区人民政府-区代建局
GZ_028,广州市海珠区人民政府-瑞宝街
GZ_029,广州市天河区人民政府-元岗街
GZ_030,广州市越秀区人民政府-矿泉街
GZ_031,广州市增城区人民政府-新塘镇
GZ_032,广州市荔湾区人民政府-茶滘街道办事处
GZ_033,广州市花都区人民政府-花山镇
GZ_034,广州市越秀区人民政府-北京街
GZ_035,广州市天河区人民政府-车陂街
GZ_036,广州市增城区人民政府-小楼镇
GZ_037,广州市黄埔区人民政府-黄埔街道
GZ_038,广州市荔湾区人民政府-石围塘街道办事处
GZ_039,广州市番禺区人民政府-沙湾街
GZ_040,广州市白云区人民政府-景泰街
GZ_041,广东省广州市白云区新市街棠乐路33号路口
GZ_042,广东省广州市黄埔区永和街道黄埔区常春藤三期北面A4栋A5栋A6栋北向公共道路
GZ_043,广东省广州市越秀区水荫路和环市东路（天河路）交叉口 红绿灯位置
GZ_044,:广东省广州市万福路青云巷口斜坡
GZ_045,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街美宜佳门口
GZ_046,广东省广州市南沙区明珠湾大桥下面
GZ_047,广东省广州市花都区新雅街道迎宾大道187号嘉都汇
GZ_048,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街美宜佳门口
GZ_049,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街多一份门口
GZ_050,广东省广州市花都区花城街道广州市花都区曙光路与光凤路交叉口人行盲道
GZ_051,广东省广州市金湖消防救援站外路边的人行道
GZ_052,广东省广州市丰乐南路88号大院16号一层消防通道
GZ_053,广东省广州市花都区狮岭镇永顺路3号
GZ_054,广东省广州市荔湾区西村街道(增埗大街与富力桃园大桥交叉口)
GZ_055,广东省广州市荔湾区东漖街道龙溪大道辅路(广钢铁路小镇停车场南入口)
GZ_056,广东省广州市天河区元岗街道上元岗元岗街4号(元岗公园)
GZ_057,广东省广州市荔湾区彩虹街道荔湾路121号(荔湾路121号大院)
GZ_058,广东省广州市白云区白云湖街道南悦东一街南悦花苑东一街(南悦花苑东一街11号楼)
GZ_059,广东省广州市广州市番禺区石基镇金龙路47号
GZ_061,广东省广州市越秀区大塘街道(陵园西路)靠近烈士陵园侧门和口腔门诊这一侧
GZ_062,广东省广州市番禺区钟村街道钟韵路与骏新路交叉口正南方向280米左右
GZ_063,广东省广州市天河区猎德街道海文路临江大道公园
GZ_064,广东省广州市越秀区华乐街道越秀区华侨新村团结路56号一楼空地
GZ_065,广东省广州市天河区黄村街道天河区黄村东路与庙元东大街交叉口北60米
GZ_066,广东省广州市荔湾区中南街道中南街道连生街29号(乐嘉超市(连生街店))
GZ_067,广东省广州市花都区新华街道新华街道建设路71号101铺(琳琅浩俊蛋糕店(宝华店))
GZ_068,员村山顶东往西路段
GZ_069,广东省广州市天河区长兴街道天河区岑村南街南胜里七号
GZ_070,广东省广州市越秀区珠光街道越秀区清水濠28.32号
GZ_071,广东省广州市南沙区南沙街道南沙大涌金涌街149号大涌地铁D出口(南沙大涌金涌街弘业烟酒商行)
GZ_072,广东省广州市番禺区长隆旅游度假区行政楼
GZ_073,广东省广州市人和镇矮岗泰安西十六巷口
GZ_074,广东省广州市越秀区珠光街道珠光路东石新街安和里九号
GZ_075,广东省广州市南沙区黄阁镇黄阁大道与庐前山南路交叉口(南沙十里方圆)
GZ_076,广州市白云区钟落潭镇九太路沙田郭树路（广州帽峰山生态园北门对面）
GZ_077,广东省广州市广州市增城区石滩镇碧桂园豪园千鹤街
GZ_078,广东省广州市天河区天河南街道(广州大道中)中山一立交第三层南往北方向，广州大道北与内环路交叉口导流线前50米
GZ_079,:广东省广州市南沙区珠江街道珠江街道广州龙穴管业有限公司(珠江创新谷夜市)
GZ_080,广州市白云区启德路和康庄路红绿灯交界处
GZ_081,广东省广州市黄埔区黄埔街道黄埔街道仁安里(下沙仁安里19号)
GZ_082,广东省广州市增城区新塘镇港口大道路段
GZ_083,茅山大道南路至江边路段（东江首府门口）
GZ_084,广东省广州市增城区新塘镇瑶田村东联开发区姚田河
GZ_085,广东省广州市新塘镇新塘大道中一号
GZ_086,广东省广州市越秀区白云街道合群一马路与合群西路交叉口正西方向69米左右(合群一马路89-95号大院)
GZ_087,广东省广州市增城区新塘镇石下新沙大道北66号
GZ_088,广东省广州市增城区中新镇福中路34号恒大山水郡小区
GZ_089,广东省广州市白云区石井街道潭村公园(宝岗楼东南)附近(潭村公园-东门)
GZ_090,广东省广州市番禺区洛浦街道东乡一街三巷与东乡一街四巷交叉口东南方向34米左右(东乡村一街二巷1号楼)
GZ_091,:广东省广州市白云区同和街道白云区北太路373
GZ_092,事发地址:广东省广州市荔湾区金花街道金花街道西华路162号(珍珍小食店对面-隔壁有停车场)(老濠江潮菜馆·22年老字号(
GZ_093,广东省广州市从化区温泉镇风景区温泉东路碧泉酒店附近
GZ_094,广东省广州市天河区车陂街道404路夜64路(东圃二马路[公交站])
GZ_095,广东省广州市天河区猎德街道海风路广粤尊府(凯旋新世界·广粤尊府-T16栋)
GZ_096,广东省广州市增城区新塘镇新塘大道新塘公园
GZ_097,广东省广州市广州市增城区石滩镇上灯街美宜佳
GZ_098,广东省广州市天河区天园街道黄埔大道中299号(东方国际商业广场)
GZ_099,广州市从化区珠光御景山水城背后河边绿道
GZ_100,广东省广州市广州白云区石门街红星村红星街九巷8号一楼
